country;iso3;region;date;gdp_pc;rol_index;pop;epi
Kenya;KEN;Africa;01/01/2022;5513.86;0.45;54027487;30.8
Kazakhstan;KAZ;Asia;01/01/2022;34188.21;0.53;19634983;40.9
Jordan;JOR;Asia;01/01/2022;9222.52;0.54;11285869;43.6
Japan;JPN;Asia;01/01/2022;45174.73;0.79;125124989;57.2
Jamaica;JAM;Americas;01/01/2022;10113.97;0.58;2827377;45.6
Italy;ITA;Europe;01/01/2022;52060.33;0.67;58940425;57.7
Indonesia;IDN;Asia;01/01/2022;13495.43;0.53;275501339;28.2
India;IND;Asia;01/01/2022;8594.43;0.5;1417173173;18.9
Hungary;HUN;Europe;01/01/2022;40699.57;0.52;9643048;55.1
Guatemala;GTM;Americas;01/01/2022;12424.77;0.44;17357886;28
Greece;GRC;Europe;01/01/2022;35328.79;0.61;10426919;56.2
Ghana;GHA;Africa;01/01/2022;6663.6;0.55;33475870;27.7
Germany;DEU;Europe;01/01/2022;62605.47;0.83;83797985;62.4
Georgia;GEO;Asia;01/01/2022;20966.53;0.6;3712502;39.1
France;FRA;Europe;01/01/2022;54988.33;0.73;67971311;62.5
Finland;FIN;Europe;01/01/2022;58401.62;0.87;5556106;76.5
Ethiopia;ETH;Africa;01/01/2022;2698.72;0.39;123379924;31.8
Estonia;EST;Europe;01/01/2022;43856.06;0.82;1348840;61.4
El Salvador;SLV;Americas;01/01/2022;10970.97;0.46;6336392;40.8
Ecuador;ECU;Americas;01/01/2022;14122.88;0.48;18001000;46.5
Dominican Republic;DOM;Americas;01/01/2022;22761.27;0.48;11228821;42.2
Denmark;DNK;Europe;01/01/2022;71224.34;0.9;5903037;77.9
Czechia;CZE;Europe;01/01/2022;48783.99;0.73;10672118;59.9
Croatia;HRV;Europe;01/01/2022;40090.24;0.61;3855641;60.2
Cote d'Ivoire;CIV;Africa;01/01/2022;6758.37;0.45;28160542;32.8
Colombia;COL;Americas;01/01/2022;18739.12;0.48;51874024;42.4
China;CHN;Asia;01/01/2022;21019.46;0.47;1412175000;28.4
Chile;CHL;Americas;01/01/2022;29480.96;0.66;19603733;46.7
Canada;CAN;Americas;01/01/2022;56872.61;0.8;38939056;50
Cameroon;CMR;Africa;01/01/2022;4785.68;0.36;27914536;30.2
Cambodia;KHM;Asia;01/01/2022;4860.45;0.31;16767842;30.1
Burkina Faso;BFA;Africa;01/01/2022;2448.13;0.49;22673762;35.5
Bulgaria;BGR;Europe;01/01/2022;32510.04;0.55;6465097;51.9
